"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,9.49697080961997,92.79,0.6641,0.6527,587400,0.737437832275767,7.97794117647059,0.033738508682329,11.7,0.0914522367197284,0.133810037613034,154
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,6.63668074169267,92.98,5.8483,1.9168,548600,0.549853372434018,6.19434765776229,0.0203718556325192,112.1,0.0745982910903505,0.0458838221212903,69
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,3.939783366991,75.62,,,197900,0.507872016251904,6.4550833781603,0.0363719050025266,100.2,0.282793968452527,0.0480324980793795,106
"City","Houston","Houston","TX","Houston, TX","""Houston-The Woodlands-Sugar Land, TX""",3,7.59317055259776,89.41,,,141100,0.14194464158978,9.37984496124031,0.0359107016300495,59.2,0.0673647468533015,0.026212726807185,75
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",4,2.15256104277584,85.15,11.2766,7.9951,119800,0.672268907563025,4.99561787905346,0.0206594323873122,73.5,0.230650118219299,0.0675897425388154,102
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",5,6.10519552046998,86.49,8.7171,3.4969,180900,0.892359174567764,8.58343337334934,0.0386235489220563,91.2,0.199910910622173,0.0240883372027881,65
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",6,2.44997246190564,77.49,12.5857,6.4988,189200,0.852878464818763,8.42406876790831,0.0549260042283297,95.6,0.252542818244378,0.0812886591096693,70
"City","San Antonio","San Antonio","TX","San Antonio, TX","""San Antonio-New Braunfels, TX""",7,5.94363870020195,83.65,,,145500,0.0687757909215956,6.43745427944404,0.0380756013745704,44.6,0.110940157874642,0.0251885937502475,70
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",8,7.6051037268221,88.36,4.1772,1.348,517900,0.348769618291029,5.88836638724187,0.0188125120679667,44.5,0.0773786234469679,0.0245296312239605,61
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",9,8.52854782449054,86.04,5.6077,3.2034,130500,1.0844306738962,15.5890168290523,0.0619157088122606,63.3,0.094143474716147,0.036453422858064,59
